date;close;volume;open;high;low
;;;;;
2013/11/15;34.6;3481302;35.08;35.14;34.16
2013/11/14;35.16;2073281;35.23;35.4458;34.66
2013/11/13;35.23;3758143;34;35.525;33.95
2013/11/12;34.22;2790370;34.31;34.83;34.06
2013/11/11;34.26;2951859;34.5;35.1;34.24
2013/11/08;34.37;4530838;33.08;34.45;32.775
2013/11/07;33;7084683;32.71;33.749;32.41
2013/11/06;33.13;17890350;36.48;37.12;32.91
2013/11/05;38.31;3462498;38.18;38.54;37.33
2013/11/04;38.21;3298421;37.52;38.82;37.52
2013/11/01;36.9;2287448;37.38;37.55;36.535
2013/10/31;37.48;2242146;37.61;37.63;36.82
2013/10/30;37.66;2669435;37;38.14;36.96
2013/10/29;36.82;2137625;36.66;37.3;36.52
2013/10/28;36.64;2081658;35.86;37;35.5825
2013/10/25;35.81;3486809;36.44;36.46;35.5
2013/10/24;36.52;3196339;35.59;36.58;35.08
2013/10/23;35.41;2616328;34.42;35.69;34.17
2013/10/22;34.5;1644221;33.94;34.55;33.84
2013/10/21;33.99;2146569;34.43;34.51;33.8201
2013/10/18;34.83;3057467;34.25;35.3867;34.06
2013/10/17;34.25;2746398;34.4;34.515;33.72
2013/10/16;34.45;2400102;34.44;34.54;33.9815
2013/10/15;34.26;2616211;34.14;34.42;33.78
2013/10/14;34.16;2221829;33.98;34.465;33.77
2013/10/11;34.2;5760672;34.08;34.37;33.09
2013/10/10;34.14;2603915;34.19;34.49;33.94
2013/10/09;33.86;3131545;33.32;34.09;33.16
2013/10/08;33.19;4277146;33.79;33.965;33.01
2013/10/07;33.95;5426125;34.85;34.85;33.66
2013/10/04;35.1;3442307;35.47;35.51;34.98
2013/10/03;35.41;2676300;35.63;36.0125;35.23
2013/10/02;35.76;2654283;35.89;36.11;35.46
2013/10/01;35.91;2577157;35.5;36.03;35.33
2013/09/30;35.37;3240412;35.63;35.71;35.2
2013/09/27;35.97;3935281;36.57;36.75;35.51
2013/09/26;36.51;2993660;37.03;37.73;36.285
2013/09/25;37.05;1789167;37.93;37.93;36.885
2013/09/24;37.6;2641111;37.25;38.16;36.76
2013/09/23;37.25;2299302;38.08;38.25;37.112
2013/09/20;38.08;3425004;38.32;38.36;37.64
2013/09/19;38.22;1641661;38.53;38.96;38.13
2013/09/18;38.62;1636420;38.25;38.7;37.63
2013/09/17;38.43;2960681;37.55;39;37.55
2013/09/16;37.34;1486656;37.57;37.79;37.16
2013/09/13;37.22;1641363;37.08;37.405;36.88
2013/09/12;37.21;2081725;37.23;37.3;36.68
2013/09/11;37.15;1849355;37.43;37.75;36.95
2013/09/10;37.42;2739269;36.87;37.44;36.35
2013/09/09;36.85;2790377;36.62;37.38;36.62
2013/09/06;36.45;3687136;35.95;36.839;35.19
2013/09/05;35.87;2526149;35.35;36.11;35.2
2013/09/04;35.12;2553392;34.86;35.6;34.79
2013/09/03;34.93;3288589;35.53;35.85;34.64
2013/08/30;35.31;2316999;35.84;35.95;35.09
2013/08/29;35.95;2261946;35.71;36.22;35.45
2013/08/28;36.16;3522487;35.85;36.6;35.6
2013/08/27;35.98;5377624;37.35;37.58;35.91
2013/08/26;37.78;3818138;38.68;39.21;37.71
2013/08/23;38.68;5854842;38.31;38.8;37.7
2013/08/22;38.53;18316440;37;39.05;36.9
2013/08/21;46.8;3273524;47.71;48.44;46.48
2013/08/20;48.5;1730019;48.35;48.98;48.16
2013/08/19;47.96;1076956;48.38;48.98;47.87
2013/08/16;48.39;1658166;48.71;49.49;48.3
2013/08/15;48.85;1731877;49.56;49.56;48.68
2013/08/14;50.22;1155355;50.11;50.58;49.77
2013/08/13;50.59;1027143;50.15;50.85;49.92
2013/08/12;50.17;1192064;49.05;50.35;48.77
2013/08/09;49.23;1958094;48.62;49.6;48.62
2013/08/08;48.73;1928643;48.78;49.46;48.5
2013/08/07;48.51;1171914;49.26;49.406;48.26
2013/08/06;49.57;3553870;49.64;49.935;48
2013/08/05;51.66;745857;51.52;52.135;51.21
2013/08/02;51.8;859341;51.18;52;50.65
2013/08/01;51.46;1511947;50;52.24;49.97
2013/07/31;49.87;959818;49.89;50;49.48
2013/07/30;49.79;1167375;49;50;48.71
2013/07/29;48.91;1716024;48.67;49.01;48.54
2013/07/26;49;1240628;49.04;49.09;48.2
2013/07/25;49.33;1241685;49.18;49.74;49.065
2013/07/24;49.24;804094;49.52;49.9;48.88
2013/07/23;49.37;832733;49.81;50.01;48.96
2013/07/22;49.78;957619;49.31;50;48.96
2013/07/19;49.22;1416171;49.57;49.799;48.83
2013/07/18;49.84;1218603;49.91;50.43;49.76
2013/07/17;49.87;649179;50.41;50.68;49.6
2013/07/16;50.23;1971776;51.47;51.48;49.61
2013/07/15;51.4;1144987;50.85;51.62;50.41
2013/07/12;50.95;1124796;50.55;51.39;50.37
2013/07/11;50.48;1804275;51.96;52.38;50
2013/07/10;51.46;1324246;50.89;51.57;50.64
2013/07/09;51.01;1299868;50.23;51.219;50.1
2013/07/08;49.94;1675597;49.23;50.4;48.89
2013/07/05;49.24;1818497;47.9;49.71;47.8
2013/07/03;47.55;1404051;47.83;47.99;46.97
2013/07/02;47.93;2816436;46.58;48.719;46.52
2013/07/01;46.19;1447793;45.53;46.96;45.4
2013/06/28;45.25;1645451;44.97;45.62;44.91
2013/06/27;45.26;1224841;44.68;45.525;44.35
2013/06/26;44.32;1249737;44.28;44.75;43.96
2013/06/25;43.77;1655242;43.79;44.31;43.6
2013/06/24;43.46;3194856;45.15;45.28;43.41
2013/06/21;45.95;2546571;47.29;47.45;45.87
2013/06/20;46.99;1857927;47.7;47.7;46.47
2013/06/19;47.85;1604004;48.57;49;47.81
2013/06/18;48.95;1146790;49.13;49.61;48.45
2013/06/17;49.09;1450264;49.11;50.15;48.73
2013/06/14;48.76;1638953;49.63;49.81;48.18
2013/06/13;49.59;1173666;49.21;49.81;48.94
2013/06/12;49.11;1441918;50.45;50.6091;48.94
2013/06/11;50.27;993040;50.5;50.99;50.16
2013/06/10;51.13;1476240;51.85;52.09;51.02
2013/06/07;51.7;2061655;51.11;52.25;51.07
2013/06/06;49.6;1231534;49.23;49.75;48.62
2013/06/05;49.31;1460653;49.73;50.68;49.11
2013/06/04;49.99;1606477;49.76;50.4;49.42
2013/06/03;49.72;2216250;50.15;50.17;49.12
2013/05/31;50.08;1909310;49.95;51.43;49.86
2013/05/30;50.29;2263871;50.19;51.21;49.7
2013/05/29;50.08;2912455;49.03;50.75;48.95
2013/05/28;49.14;3338776;50.27;50.955;49.04
2013/05/24;50.02;10391910;50.61;51.8;47.94
2013/05/23;54.37;2038986;53.45;54.63;52.925
2013/05/22;54.11;1396815;54.16;55.232;53.81
2013/05/21;54.21;1206669;54.36;54.64;53.88
2013/05/20;54.41;1287305;54.1;54.6065;53.45
2013/05/17;54.24;1351880;53.14;54.32;52.79
2013/05/16;53.32;1687523;53.42;53.73;52.63
2013/05/15;53.69;1355785;53.74;54.52;53.5
2013/05/14;53.66;1592725;53.45;53.71;52.74
2013/05/13;53.48;1248282;53.84;54.12;53.04
2013/05/10;53.84;1273975;53.4;54.2;53
2013/05/09;53.37;1999311;52.49;54.09;52.28
2013/05/08;52.48;2187699;51.91;52.5;51.345
2013/05/07;52.07;3911023;49.42;52.54;49.42
2013/05/06;48.97;1105517;49.23;49.37;48.32
2013/05/03;49.5;1570674;49.37;50.07;49.26
2013/05/02;49;1756644;49.15;49.3799;48.37
2013/05/01;49.05;1046097;49.47;49.75;48.99
2013/04/30;49.56;1382581;49.23;49.91;49.04
2013/04/29;49.16;1336818;49.29;49.64;48.9
2013/04/26;48.41;1090660;48.2;48.82;47.82
2013/04/25;48.14;1798255;47.09;49;46.57
2013/04/24;46.78;1276957;46.34;46.885;46.22
2013/04/23;46.25;1355498;46.76;47.04;45.86
2013/04/22;46.26;1338975;46.77;47.05;45.72
2013/04/19;46.77;1335146;46.16;47.13;45.85
2013/04/18;46.01;1728990;46.85;47;45.4
2013/04/17;46.67;1393261;47.53;47.79;46.46
2013/04/16;47.87;2031058;46.98;47.92;46.79
2013/04/15;46.57;2013047;48.46;48.9;46.49
2013/04/12;48.65;1454018;49.23;49.63;48.33
2013/04/11;49.54;2294250;49.01;50.43;49.01
2013/04/10;49.18;1867940;48.29;49.34;48.09
2013/04/09;47.98;1746020;49.44;49.44;47.75
2013/04/08;49.47;1269484;48.72;49.55;48.53
2013/04/05;48.68;1739538;47.15;48.71;46.5
2013/04/04;47.87;1922722;47.17;48.03;46.862
2013/04/03;47.2;2849015;45.62;47.66;45.31
2013/04/02;45.46;2014882;45.65;46.0999;45.25
2013/04/01;45.94;1340708;46.11;46.91;45.92
2013/03/28;46.2;1208513;45.72;46.29;45.67
2013/03/27;45.85;1617169;45.33;46.25;45.09
2013/03/26;45.69;1577115;46.47;46.55;45.285
2013/03/25;46.38;2189618;45.98;46.78;45.5
2013/03/22;45.96;2212444;46.18;46.67;45.39
2013/03/21;45.94;2121701;47.23;47.47;45.74
2013/03/20;47.56;1521583;47.36;47.8;46.9
2013/03/19;46.91;1875126;48.54;48.69;46.41
2013/03/18;48.48;1105031;48.12;48.81;48.02
2013/03/15;48.71;2588197;49.41;49.54;48.62
2013/03/14;49.7;1827729;49.91;50.07;49.48
2013/03/13;49.77;2419914;48.51;49.89;48.51
2013/03/12;48.47;1255295;48.63;48.99;47.95
2013/03/11;48.82;1618587;48.26;49;47.8
2013/03/08;48.26;1436504;48;48.48;47.53
2013/03/07;47.76;1720141;47.35;48.32;47.27
2013/03/06;46.96;1473969;47.23;47.5;46.695
2013/03/05;47.21;2179283;46.6;47.24;46.49
2013/03/04;46.31;1475017;45.99;46.87;45.95
2013/03/01;46.27;1739586;46.37;46.73;45.98
2013/02/28;46.63;1980501;46.36;47.14;46.16
2013/02/27;46.4;2169153;45.64;46.52;45.32
2013/02/26;45.46;2795398;45.24;45.9;44.35
2013/02/25;45.17;3974469;47.16;47.16;45.12
2013/02/22;46.86;13509520;48.22;48.85;45
2013/02/21;49.05;3866953;50.6;50.68;47.91
2013/02/20;50.84;2710689;52.2;52.44;50.58
2013/02/19;52.07;2203070;51.32;52.08;50.76
2013/02/15;50.96;2425629;51.04;52.19;50.26
2013/02/14;51.29;1405828;50.46;51.45;50
2013/02/13;50.59;1113322;50.91;51.23;50.45
2013/02/12;50.9;2142064;50.23;51.63;50.14
2013/02/11;49.95;1225763;50.41;50.789;49.8
2013/02/08;50.62;1502111;51.01;51.47;50.45
2013/02/07;51.04;2179089;50.65;51.32;50.14
2013/02/06;50.92;2212405;50.75;51.74;50.53
2013/02/05;50.9;1879940;50.5;51.5;50.04
2013/02/04;50.19;1781437;50.66;50.84;50.055
2013/02/01;51.07;2194267;50.34;51.39;50
2013/01/31;50;1695711;50.31;50.9;49.26
2013/01/30;50.56;995083;50.6;50.83;50.05
2013/01/29;50.71;1940140;50;50.77;49.42
2013/01/28;49.56;2585406;50.49;50.5;49.13
2013/01/25;50.59;1819597;49.7;50.94;49.49
2013/01/24;49.44;1133139;49.31;50.1;49.12
2013/01/23;49.3;1120608;49.46;49.68;49.04
2013/01/22;49.57;1824243;49.86;49.9;49.18
2013/01/18;49.75;2620976;50.33;50.34;49.69
2013/01/17;50.37;1492613;50.17;50.68;49.91
2013/01/16;50.01;1396609;49.69;50.16;49.22
2013/01/15;50.2;2090788;48.59;50.28;48.5501
2013/01/14;48.83;1505054;48.12;48.99;47.67
2013/01/11;48.08;1390251;48.66;48.66;47.78
2013/01/10;48.48;2496949;46.66;48.49;46.6101
2013/01/09;47.38;2917004;48.18;48.48;47.02
2013/01/08;47.67;1845468;47.34;48.11;46.77
2013/01/07;47.39;2031923;46.97;47.87;46.17
2013/01/04;47.41;1782424;47.32;47.67;46.69
2013/01/03;47.11;1828426;47.66;47.94;46.86
2013/01/02;47.56;3232066;48.01;48.7;46.24
2012/12/31;47.97;2284410;45.73;48.04;45.71
2012/12/28;45.76;1617941;45.82;46.33;45.62
2012/12/27;46.16;2296351;45.48;46.31;44.87
2012/12/26;45.44;1946310;47.49;48.04;45.38
2012/12/24;47.1;582818;47.33;47.68;46.97
2012/12/21;47.37;3017759;47.74;47.9;47.07
2012/12/20;48.55;2692554;47.93;48.7;47.63
2012/12/19;47.83;2639864;48.8;48.8;47.695
2012/12/18;48.99;3330046;47.13;49.095;47.01
2012/12/17;47.17;1934155;47;47.18;46.2
2012/12/14;46.78;1762412;46.73;47.62;46.71
2012/12/13;46.9;2551017;46.43;47.16;46.42
2012/12/12;46.26;2752128;47.25;47.71;46.169
2012/12/11;47.25;2852852;47.54;47.97;46.895
2012/12/10;47.31;4301454;47.48;47.97;46.68
2012/12/07;46.39;3313715;45.84;46.63;45.3
2012/12/06;45.32;1749842;44.95;45.65;44.9201
2012/12/05;45.23;3038583;45.34;46.04;44.79
2012/12/04;45.45;2099778;45.78;46.215;45.17
2012/12/03;45.65;1839323;46.03;46.29;45.45
