date;close;volume;open;high;low
16:00;1035.23;1168369;1033.92;1039.75;1030.35
2013/11/13;1032.47;1578515;1006.75;1032.85;1006.5
2013/11/12;1011.78;1218087;1007.7;1017.56;1005
2013/11/11;1010.59;1112528;1009.51;1015.93;1008
2013/11/08;1016.03;1290800;1008.75;1018.5;1008.5
2013/11/07;1007.95;1679632;1022.61;1023.93;1007.64
2013/11/06;1022.75;914174;1025.6;1027;1015.37
2013/11/05;1021.52;1181373;1020.35;1031.65;1017.42
2013/11/04;1026.106;1138656;1031.5;1032.37;1022.03
2013/11/01;1027.04;1283286;1031.79;1035.9999;1025.1
2013/10/31;1030.58;1616405;1028.93;1041.5239;1023.97
2013/10/30;1030.42;1324081;1037.43;1037.51;1026
2013/10/29;1036.24;1604995;1019.1;1036.94;1013.5
2013/10/28;1015;1158320;1015.2;1023.43;1012.985
2013/10/25;1015.2;2030479;1028.82;1028.82;1010.74
2013/10/24;1025.55;2092054;1031.87;1040.57;1024.8
2013/10/23;1031.407;2663226;1001;1034.7499;1000.63
2013/10/22;1007;2208639;1005;1013;995.791
2013/10/21;1003.3;3628191;1011.46;1019;999.55
2013/10/18;1011.408;11563920;976.58;1015.4601;974
2013/10/17;888.794;4163147;892.99;896.9;885.73
2013/10/16;898.029;2004867;885.87;898.33;884.01
2013/10/15;882.01;1591887;875.76;885.63;874
2013/10/14;876.11;1243573;866.66;876.25;865.39
2013/10/11;871.99;1407096;866.03;873.48;865.3
2013/10/10;868.24;2255255;863.84;868.83;860.21
2013/10/09;855.86;2651123;856.28;862.65;842.98
2013/10/08;853.67;1943503;865.32;865.98;851.63
2013/10/07;865.74;1293591;867.45;873.99;864.11
2013/10/04;872.35;1358005;875;877.5099;870
2013/10/03;876.09;2117005;888;894.1;872.1
2013/10/02;887.99;1495334;882.73;889.355;877.82
2013/10/01;887.004;1682984;880.25;887.67;880.05
2013/09/30;875.91;1720996;869.08;880.84;868.31
2013/09/27;876.39;1258822;874.82;877.52;871.31
2013/09/26;878.17;1259907;878.3;882.75;875
2013/09/25;877.23;1649029;886.55;886.55;875.6
2013/09/24;886.84;1466985;886.5;890.1;881.4
2013/09/23;886.5;1777442;896.15;901.59;885.2
2013/09/20;903.11;4343880;898.39;904.13;895.62
2013/09/19;898.39;1596560;905.99;905.99;895.4
2013/09/18;903.32;1934434;886.35;903.97;883.0701
2013/09/17;886.11;1259422;887.41;888.395;881
2013/09/16;887.76;1341111;896.2;897;884.87
2013/09/13;889.068;1325286;894.5;895.68;884.84
2013/09/12;893.064;1095465;897.4;897.9;890.01
2013/09/11;896.19;1610577;888.54;896.97;886.08
2013/09/10;888.67;1287636;890.02;892;884.0001
2013/09/09;888.054;1222504;883.73;889.75;882.42
2013/09/06;879.58;1561560;882.44;883.78;873.74
2013/09/05;879.56;1291335;873.5;879.88;871.61
2013/09/04;871.634;2040633;860.35;873.5;855.17
2013/09/03;860.38;2047636;854.36;866.19;853.95
2013/08/30;846.9;1862207;855.76;858.04;845.56
2013/08/29;855.43;1370908;849.07;860.38;848.59
2013/08/28;848.55;1329908;850.25;855.41;847.77
2013/08/27;850.15;1731654;859.62;863.73;847.9
2013/08/26;866.39;1056184;870;874.9;866.05
2013/08/23;870.21;1076493;877.83;878;869.75
2013/08/22;873.71;869911;872.7;874.75;870.25
2013/08/21;869.33;1757333;870.65;876.909;866.5
2013/08/20;865.42;1236259;868.35;872.11;863.54
2013/08/19;865.65;1810825;857.71;872;857.45
2013/08/16;856.908;1675087;861.28;862.44;856.54
2013/08/15;859.66;1869174;864.44;864.92;858
2013/08/14;869.81;2082097;878.37;880.23;867.16
2013/08/13;881.25;1419756;886.83;888.5;876.2
2013/08/12;885.51;1377034;886.9;887;881.65
2013/08/09;890.41;1323661;890.56;895.52;890
2013/08/08;892.66;1487625;895.49;895.84;885.295
2013/08/07;890.65;1379208;895.04;898.45;889.09
2013/08/06;896.57;1504606;904.69;909.709;895.73
2013/08/05;905;1309721;905.39;905.525;899.2
2013/08/02;906.57;1713765;903.44;907;900.82
2013/08/01;904.22;2133480;895;904.55;895
2013/07/31;887.75;2072892;892.99;896.509;886.18
2013/07/30;890.92;1755610;885.46;895.61;880.87
2013/07/29;882.27;1891862;884.9;894.82;880.89
2013/07/26;885.35;1777562;886.99;889.99;882
2013/07/25;887.7;3000533;893.87;896.85;886.08
2013/07/24;902.9;2063078;907.26;910.3;900.7
2013/07/23;903.8;2045127;910.7;913;899.57
2013/07/22;910.7;2902800;902;912.67;897
2013/07/19;896.598;7358055;886.61;902.95;875.61
2013/07/18;910.68;3579481;918.99;920;903.19
2013/07/17;918.55;1505868;921;926.86;916.3
2013/07/16;919.608;1982952;927.13;927.97;913.9
2013/07/15;924.69;1958669;924.3;928;916.36
2013/07/12;923;2567441;920;923;915.24
2013/07/11;920.24;2583821;913;920.81;908.52
2013/07/10;905.99;1706796;903.45;911.135;900.38
2013/07/09;905.24;1961588;911;912.95;897.98
2013/07/08;905.09;1969450;899.21;906.27;897.084
2013/07/05;893.49;1701830;890.01;895.41;887.34
2013/07/03;886.43;1048628;879.9;889.17;878.5
2013/07/02;882.31;1891448;890.2;891;877.27
2013/07/01;887.88;1722652;886.45;892.08;885
2013/06/28;880.37;2348727;874.9;881.84;874.191
2013/06/27;877.07;1926354;878.8;884.69;876.65
2013/06/26;873.65;1831328;873.75;878;870.5701
2013/06/25;866.2;2552561;877.26;879.68;864.51
2013/06/24;869.79;3016272;871.88;876.32;863.25
2013/06/21;880.93;3981576;888.34;889.88;873.07
2013/06/20;884.74;3371895;893.99;901;883.31
2013/06/19;900.68;2915792;901.37;910.84;897.5
2013/06/18;900.62;2151510;888.65;901;888.35
2013/06/17;886.25;2145138;879.23;889.43;878.28
2013/06/14;875.04;2244971;880.1;884.7;874.13
2013/06/13;877;2069414;868.98;879.66;865.5
2013/06/12;871.98;2204549;885.46;886;869.65
2013/06/11;879.81;1757482;883.97;887;879.52
2013/06/10;890.22;2337753;882.1;891;880.0901
2013/06/07;879.73;2673069;870.42;880;865.32
2013/06/06;864.64;2578905;864.3;866.33;847.22
2013/06/05;859.7;2106491;862.51;869.45;857.13
2013/06/04;859.1;1867345;867.85;870.59;854.07
2013/06/03;867.63;2475396;873;873.9699;855.02
2013/05/31;871.218;1969357;868.12;877;867.52
2013/05/30;870.76;2120587;869.92;878.9;866.41
2013/05/29;868.31;2012380;875.71;877.99;864.29
2013/05/28;881.27;2257410;883.5;892.14;880.4
2013/05/24;873.32;2296360;875.26;878.82;871.01
2013/05/23;882.79;2274946;877;889.96;874
2013/05/22;889.42;2557609;902.56;909.31;886.88
2013/05/21;906.97;1982685;908.02;911.66;897.61
2013/05/20;908.53;2272695;905;920.6;905
2013/05/17;909.18;2791803;910.02;913.489;900.52
2013/05/16;903.87;3203974;919;919.9799;902.01
2013/05/15;915.89;3984994;895.5;916.38;894.02
2013/05/14;887.1;1576836;877.5;888.69;877.14
2013/05/13;877.53;1448030;878.89;882.4699;873.381
2013/05/10;880.23;1897154;875.31;880.54;872.16
2013/05/09;871.48;2199550;870.84;879.66;868.23
2013/05/08;873.63;2466446;857;873.88;852.91
2013/05/07;857.23;1958986;863.01;863.8699;850.67
2013/05/06;861.55;2140979;848.26;861.85;848.26
2013/05/03;845.72;2511142;836.96;846.8;836
2013/05/02;829.61;2016664;820.1;834.55;819.05
2013/05/01;820.43;1454134;823.26;824.72;816.36
2013/04/30;824.57;2306166;819;827.64;817.68
2013/04/29;819.06;2300254;803.25;822.7;803
2013/04/26;801.42;2487637;807.6;807.74;796.58
2013/04/25;809.1;1990183;816.25;816.47;807.63
2013/04/24;813.454;1829051;808.11;818;808
2013/04/23;807.9;2292052;801;815.5;800.36
2013/04/22;800.114;2883007;800.6;803.958;775
2013/04/19;799.87;5802611;769.16;803.44;766.26
2013/04/18;765.914;3285226;785.35;785.8;761.2601
