date;close;volume;open;high;low
;;;;;
2013/11/14;182.21;6321524;180.48;183.2;179.66
2013/11/13;183.55;4700516;182.27;183.55;181.59
2013/11/12;183.07;4258523;182.53;184.0487;182.26
2013/11/11;182.88;5222299;180.19;183.39;180.04
2013/11/08;179.99;6275035;178.83;180.08;177.35
2013/11/07;180;5219526;179.6;181.39;179.6
2013/11/06;179.19;4560079;177.91;179.75;177.78
2013/11/05;177.85;6096778;179.54;179.8;177.71
2013/11/04;180.27;3483345;179.9;180.8;179.34
2013/11/01;179.23;3644428;179.81;180.339;178.88
2013/10/31;179.21;4318085;179.65;181.67;179.04
2013/10/30;180.15;5273734;181.69;182.18;179.86
2013/10/29;182.12;8904420;177.62;182.32;177.5
2013/10/28;177.35;3697807;177.04;177.89;176.2
2013/10/25;176.85;4842768;178.43;179.1;176.26
2013/10/24;177.8;5533295;176.43;177.89;176.25
2013/10/23;175.77;5409403;175.09;175.99;174.4
2013/10/22;174.97;6977259;173.35;175.57;172.9512
2013/10/21;172.86;7079506;174.42;174.75;172.6301
2013/10/18;173.78;10547970;174.8;175;173.25
2013/10/17;174.83;22356370;173.84;177;172.57
2013/10/16;186.73;6613629;185.42;186.73;184.994
2013/10/15;184.66;3365105;185.74;185.94;184.22
2013/10/14;186.97;2663107;185.41;186.99;184.42
2013/10/11;186.16;3232628;185.25;186.23;184.12
2013/10/10;184.77;3658906;183.17;184.77;182.358
2013/10/09;181.32;4423494;179.37;181.67;179.1
2013/10/08;178.72;5578329;181.89;181.99;178.71
2013/10/07;182.01;3966427;181.85;183.31;181.85
2013/10/04;184.1;2863648;184.17;185.13;183.58
2013/10/03;183.86;3211758;184.7;184.96;183
2013/10/02;184.96;3617059;185.54;186.3099;184.41
2013/10/01;186.38;2681173;185.34;186.65;184.65
2013/09/30;185.18;3978234;185.56;186.74;184.34
2013/09/27;186.92;3905485;188.87;188.94;186.45
2013/09/26;190.22;2093584;190.1;191.76;189.455
2013/09/25;189.47;2654533;190.14;190.62;188.5
2013/09/24;189.97;3002362;190.93;191.56;189.66
2013/09/23;190.99;3340791;190.06;192.41;189.3301
2013/09/20;190.02;8525872;193.96;194.4299;190.02
2013/09/19;193.39;3178067;194.18;194.89;193.22
2013/09/18;194.42;3841726;192.6;194.89;192
2013/09/17;192.16;2930938;193.42;194.15;191.83
2013/09/16;193.15;3906886;193.7;194.81;192.61
2013/09/13;192.17;3710354;191.21;193.1;191
2013/09/12;190.73;3354845;190.96;191.32;189.85
2013/09/11;190.7;4962922;186.83;190.87;186.82
2013/09/10;186.6;3149630;187.2;187.65;186.37
2013/09/09;184.98;3017239;183.68;185.49;183.31
2013/09/06;183.03;2903517;184.65;184.99;182.65
2013/09/05;184.15;2867633;183.35;185;183.07
2013/09/04;183.13;2597909;183.58;184.19;182.31
2013/09/03;183.96;3487169;183.63;184.32;182.51
2013/08/30;182.27;2731041;182.75;182.99;181.51
2013/08/29;182.64;2980880;181.96;183.7;181.44
2013/08/28;182.16;3979196;182.68;183.47;181.1
2013/08/27;182.74;3190430;183.63;184.5;182.5701
2013/08/26;184.74;2174062;185.27;187;184.68
2013/08/23;185.42;2294992;185.34;185.74;184.57
2013/08/22;185.19;2354336;185.65;186.25;184.25
2013/08/21;184.86;3551007;184.67;186.57;184.28
2013/08/20;184.56;3121998;184.37;185.63;183.1685
2013/08/19;184.23;3248927;185.3;186.5;183.9787
2013/08/16;185.34;3426429;185.54;186.46;185.34
2013/08/15;185.79;3692360;186.23;187;185.45
2013/08/14;187.53;2892302;188.58;188.926;187.3
2013/08/13;188.42;3542932;189.54;189.99;187.56
2013/08/12;189.09;3026539;186.97;189.556;186.89
2013/08/09;187.82;3249553;188;189.16;187
2013/08/08;187.93;4547555;189.45;189.87;186.79
2013/08/07;188.56;3901716;189.6;189.93;188.05
2013/08/06;190.99;5932764;192.26;192.51;190.27
2013/08/05;195.5;2490863;195.16;195.88;194.35
2013/08/02;195.16;3860908;195.5;195.5;193.2215
2013/08/01;195.81;2877770;196.65;197.17;195.41
2013/07/31;195.04;3809982;194.49;196.9099;194.49
2013/07/30;196.01;2663216;196.99;197.83;195.81
2013/07/29;196.21;2113654;196.83;197.19;195.53
2013/07/26;197.35;2485006;196.59;197.37;195
2013/07/25;197.22;3014255;196.3;197.83;195.66
2013/07/24;196.61;2957339;195.95;197.3;195.861
2013/07/23;194.98;2864014;194.21;196.43;194.1
2013/07/22;194.09;3397910;193.4;195.79;193.2804
2013/07/19;193.54;6997445;197.91;197.99;193.24
2013/07/18;197.99;8393110;198.27;200.94;195.99
2013/07/17;194.55;6784863;194.72;194.89;193.03
2013/07/16;193.85;3746345;194.04;194.58;192.685
2013/07/15;194;5677988;192.42;194.89;191.68
2013/07/12;192.07;4495419;193.07;193.6999;191.5901
2013/07/11;192.8;4179023;193.78;194.11;192.61
2013/07/10;192.25;3934933;191.51;193.43;191.2714
2013/07/09;191.3;5204244;191.88;192.8;190.78
2013/07/08;194.98;2948458;195.6;195.78;194.61
2013/07/05;194.93;2405596;194.49;195.16;192.35
2013/07/03;193.25;1878313;190.98;194.22;190.51
2013/07/02;191.5;3657855;190.78;193.23;190.26
2013/07/01;191.28;4442222;192.15;193.8;191.12
2013/06/28;191.11;10056560;191.73;192.66;188.41
2013/06/27;195.65;3513927;196.05;196.9;195.29
2013/06/26;194.86;3319852;195.97;196.23;194.5
2013/06/25;194.98;3847821;195.31;195.59;193.15
2013/06/24;193.54;4356153;193.99;194.91;191.34
2013/06/21;195.46;8918718;198.5;198.52;193.5401
2013/06/20;197.35;4515879;200.67;201.7;197.28
2013/06/19;201.94;2846004;204.44;205.03;201.93
2013/06/18;204.87;3277951;203.02;206.09;202.87
2013/06/17;203.04;3220009;203.44;205.1713;202.55
2013/06/14;202.2;2804459;203.97;204.745;201.81
2013/06/13;203.77;2899698;201.01;204.4;200.34
2013/06/12;201.2;3409755;204.59;205.23;200.51
2013/06/11;203.98;2814520;203.17;205.95;202.51
2013/06/10;205.02;2652220;206.97;206.98;204.9
2013/06/07;206.35;2953140;204.85;206.35;204.11
2013/06/06;203.8;3679532;203;204.2;201.47
2013/06/05;202.74;4215365;205.16;206.29;202.4
2013/06/04;206.19;3598199;208.6;209;205.08
2013/06/03;208.95;3323648;208.25;210.05;207.33
2013/05/31;208.02;4949606;208.59;211.98;208.02
2013/05/30;209.36;4399697;206.97;210.99;206.97
2013/05/29;207.92;3439213;206.22;208.42;206.04
2013/05/28;207.78;4010644;207.44;208.59;207.16
2013/05/24;205.72;3295637;204.69;206.43;204.42
2013/05/23;206.16;5180340;205.48;208.61;205.13
2013/05/22;206.99;5187031;208.5;210.15;206.121
2013/05/21;208.65;2981691;207.24;209.48;207
2013/05/20;207.6;3614453;208.02;209.15;207.42
2013/05/17;208.44;5704295;205.25;209.5;204.99
2013/05/16;204.69;4506972;204;206.59;204
2013/05/15;203.32;4027770;202.25;203.6799;202.04
2013/05/14;203.21;3701203;202.09;203.67;202.08
2013/05/13;202.47;3648033;204.18;204.47;202.22
2013/05/10;204.47;3279458;203.37;204.53;202.82
2013/05/09;203.24;3541906;204.69;205;202.72
2013/05/08;204.82;3601645;202.94;204.85;202.51
2013/05/07;203.63;3429515;202.81;203.73;201.65
2013/05/06;202.78;4826441;203.79;203.99;201.52
2013/05/03;204.51;4490991;203.94;205.319;203.75
2013/05/02;202.39;3945239;200.12;202.43;199.75
2013/05/01;199.63;4899267;201.87;202.17;199.2
