date;close;volume;open;high;low
;;;;;
2013/11/15;349.76;2878353;344.6;349.89;343.08
2013/11/14;342.57;2871760;335.79;344;335.12
2013/11/13;335.284;1709711;333.22;335.46;329.1
2013/11/12;333.73;1747406;336.18;339.5;331.35
2013/11/11;337.91;2401831;332.75;339.5;328.62
2013/11/08;334.9;2778404;326.92;335.6;325.52
2013/11/07;326.86;2857994;339;339.67;325.16
2013/11/06;335.63;2966512;339.49;344.37;332.79
2013/11/05;341.5;2469926;335.54;342.4;333.05
2013/11/04;337.6;3131291;330.95;337.79;325.15
2013/11/01;329.265;3145599;328.83;333.5;325.9001
2013/10/31;322.48;2559970;318.11;326.65;315.7
2013/10/30;318.14;3091134;328.72;328.93;315.62
2013/10/29;327.3;4419541;318.57;327.37;309.2
2013/10/28;314;4869793;325.01;330.96;311.81
2013/10/25;328.031;3437548;331;337.2;325.91
2013/10/24;331.22;4783113;331.44;336.85;323.66
2013/10/23;330.24;8338875;317.32;335.19;317
2013/10/22;322.524;25678440;387.84;389.16;321.5
2013/10/21;354.99;9006388;342.92;355.4158;340.1
2013/10/18;333.5;3617176;334;336.48;327.6
2013/10/17;330.1;2752244;322.21;330.21;319.66
2013/10/16;322.878;2691936;320.11;325.5;318.26
2013/10/15;321.69;3792419;325.1;327.33;319.3401
2013/10/14;324.36;6508507;310.61;325.27;306
2013/10/11;300.848;2737703;304.311;307.61;300.13
2013/10/10;303.994;4371542;301;307.43;296.4
2013/10/09;288.43;5992372;300.23;300.575;282.8
2013/10/08;302.32;4078746;319.29;321.52;299.5655
2013/10/07;318.16;2090748;324.04;326.97;318.15
2013/10/04;327.26;2401869;323.68;328.3;318.54
2013/10/03;321.72;3514647;331.01;334.5;318.05
2013/10/02;330.73;4369028;322.09;333.6;321.62
2013/10/01;324.62;4240611;314.77;324.7;314
2013/09/30;309.21;1789800;307.72;312.15;305.2
2013/09/27;312.4;1185584;310.76;313.52;309.7
2013/09/26;313.51;1779960;308.04;314.49;307.5
2013/09/25;307.14;2090786;308.2;310.8;304.06
2013/09/24;306.49;2682816;301.3;309.4;300.3503
2013/09/23;302.04;4574624;320.39;320.39;299.52
2013/09/20;313.83;4398849;305.84;315.8875;305.62
2013/09/19;305.498;2478533;308.37;308.745;304.01
2013/09/18;306.92;1959922;298.96;307.68;298.12
2013/09/17;299.55;2600074;302.04;303.26;297.7
2013/09/16;302.16;2009453;310;310.19;301.8
2013/09/13;305.65;2143025;302;306;299.1903
2013/09/12;301.406;3134877;301.84;306.45;298.35
2013/09/11;308.3;4276942;313.74;314.18;303.88
2013/09/10;313.06;5226861;297.5;313.24;296.81
2013/09/09;294.15;1974648;292.75;295.3;290.28
2013/09/06;291.54;2528042;296.33;296.51;290.2
2013/09/05;295.11;2724630;296.8;298.93;294.42
2013/09/04;292.43;2813887;288.84;293.06;286.99
2013/09/03;289;2852827;287.43;290.71;284.55
2013/08/30;283.91;2163734;288.25;288.83;282.95
2013/08/29;287.85;2722826;284.03;290.23;283.84
2013/08/28;283.36;2764994;278.66;285;276.4
2013/08/27;276.04;3293549;279.15;285.88;274.5
2013/08/26;282.72;4384110;276.11;289.9444;274.04
2013/08/23;278.36;3188911;270.05;278.39;269.02
2013/08/22;269.75;1423072;272.52;273.46;268.23
2013/08/21;270.37;3034313;272.89;274.65;267.5
2013/08/20;273.29;4301180;262.93;273.54;262.5
2013/08/19;259.78;2213540;258;263.5;257.75
2013/08/16;258.87;3050629;253.21;260.15;251.131
2013/08/15;253.41;2375551;259;260.49;251.36
2013/08/14;261.81;2485226;258.3;263.79;258.0157
2013/08/13;259.19;3134373;258.65;262.199;253.2605
2013/08/12;256.6;2543465;251.28;257;250.42
2013/08/09;252.75;1760250;249.99;253.71;249.8
2013/08/08;250.4;2114323;251.87;253.895;248.45
2013/08/07;249.21;2331967;254.36;257.47;248.66
2013/08/06;255.9;2916069;253.95;257.6;250.1
2013/08/05;253.84;3280058;243.91;253.9;241.38
2013/08/02;246.18;1982809;249.34;249.34;244.8
2013/08/01;249.12;2028898;246.54;250;244.57
2013/07/31;244.484;1874240;243.41;247.1;241.94
2013/07/30;243.76;1518093;245.4;247.91;241.81
2013/07/29;244.96;1887722;246.06;250.67;242.5
2013/07/26;246.31;2546483;244.62;246.98;240.81
