date;close;volume;open;high;low
;;;;;
2013/11/15;64.39;979323;64.68;65.7;63.6
2013/11/14;63.68;913107;63.51;64.8;62.24
2013/11/13;63.888;685495;61.35;64.172;60.98
2013/11/12;61.7;840041;59.68;64.49;58.82
2013/11/11;59.978;724736;56.58;60.325;56.58
2013/11/08;56.72;514151;56.24;57.29;55.87
2013/11/07;56.38;671662;58.03;59.05;55.96
2013/11/06;57.8;556690;60.3;60.6965;57.5
2013/11/05;60.24;582102;60.38;60.85;59.13
2013/11/04;60.86;909740;58.19;61.12;57.4
2013/11/01;58.17;423802;58.54;59.08;57.37
2013/10/31;58.08;632299;58.65;59.04;56.79
2013/10/30;58.67;1071920;61.97;63;58.14
2013/10/29;62.09;2164417;55.26;62.652;55.13
2013/10/28;55.56;309716;55.52;55.965;55.17
2013/10/25;55.89;400573;55.78;56.13;54.95
2013/10/24;55.82;578077;55.5;56.21;55.01
2013/10/23;55.65;679760;55.85;56.4;54.91
2013/10/22;56.148;782722;56.39;56.99;55.18
2013/10/21;56.16;1059152;56;56.39;54.61
2013/10/18;56.39;971290;54.72;56.814;53.92
2013/10/17;54.498;844659;53.95;54.88;53.445
2013/10/16;54.18;975715;54.18;55.8499;53.75
2013/10/15;53.94;1845621;54.75;56.06;53.02
2013/10/14;54.75;982402;54.48;55.99;53.17
2013/10/11;54.89;1215650;55.14;56.36;54.04
2013/10/10;55.27;1989717;59.72;59.72;54.61
2013/10/09;59.57;847429;62.94;63.5;59.35
2013/10/08;63.05;683537;64.15;64.77;61.89
2013/10/07;64.28;636289;63.3;64.98;63.01
2013/10/04;64.1;548235;63.8;64.89;63.4
2013/10/03;63.99;810144;64.3;64.946;63.45
2013/10/02;64.56;1171577;63.21;65.64;62.97
2013/10/01;63.76;1666246;59.89;66;59.84
2013/09/30;59.49;705090;58.58;60.41;57.5001
2013/09/27;59.05;538032;60.06;60.07;57.71
2013/09/26;60.38;926060;59.8;60.86;58.61
2013/09/25;59.724;1085496;57.95;60.03;57.32
2013/09/24;57.88;614763;58.06;58.66;57.25
2013/09/23;57.84;935509;58.27;58.97;56.64
2013/09/20;58.47;1698346;59.1;59.16;56.79
2013/09/19;58.11;1329101;59.92;60.3;56.61
2013/09/18;59.618;2377300;61.88;61.99;57.8
2013/09/17;62.03;2608320;61;63.9;60.08
2013/09/16;61.35;1369789;60.84;63.44;59.82
2013/09/13;60.42;1833172;59.5;60.45;57.98
2013/09/12;58.83;2076454;56.5;59.219;55.627
2013/09/11;55.8;1795985;56.72;57.5;53.26
2013/09/10;56.64;3777980;53.02;59.24;52.9
2013/09/09;53.069;2898345;47.03;55.24;47.03
2013/09/06;47.05;902129;48.4;48.4;46.33
2013/09/05;47.96;1827880;44.58;49.05;44.555
2013/09/04;45.13;1175440;44.82;46.17;44.39
2013/09/03;44.84;1199585;44.45;45.27;44.24
2013/08/30;44.24;1467715;41.52;44.55;41.1201
2013/08/29;41.56;536105;40.79;41.88;40.5
2013/08/28;40.87;611406;40.75;41.48;40.27
2013/08/27;40.58;993277;39.25;41.7;38.88
2013/08/26;39.34;799097;39.8;40.46;39.3
2013/08/23;39.6;1051308;40.1;40.2;39.25
2013/08/22;39.72;2695701;39.73;40.7399;39.06
2013/08/21;43.27;1458525;41.69;43.72;41.42
2013/08/20;41.59;1183692;40.22;41.7;40.2
2013/08/19;40.12;1581405;41.35;41.63;39.53
2013/08/16;41.182;2015849;42.51;42.99;40.76
2013/08/15;41.73;852577;41.71;41.88;41.01
2013/08/14;41.73;775467;42.3;42.42;41.38
2013/08/13;42.17;704901;42.36;43.02;41.62
2013/08/12;42.43;721229;41.32;42.69;40.93
2013/08/09;41.35;909339;42.01;42.01;40.8
2013/08/08;41.92;974278;42.11;42.45;41.36
2013/08/07;41.78;1078568;42.12;42.199;41.25
2013/08/06;42.33;1517412;44.44;44.44;41.94
2013/08/05;44.7;956697;45.98;46.5;44.35
2013/08/02;46.08;515075;46.2;47.47;45.94
2013/08/01;46.5;1025457;46;47.124;45.33
2013/07/31;45.8;1025221;44.46;45.97;44.11
2013/07/30;44.36;580005;44.3;44.54;43.81
2013/07/29;44.04;620887;43.04;44.08;43.02
2013/07/26;43.38;433970;42.56;43.489;42.4285
2013/07/25;42.77;660411;42.03;43;42.03
2013/07/24;42.12;733383;43;43.3299;42
2013/07/23;42.81;958373;44.6;44.7925;42.68
2013/07/22;44.62;573101;44.74;44.88;43.73
2013/07/19;44.38;903684;44.01;45.19;43.62
2013/07/18;43.57;481084;43.82;44.14;43.3
2013/07/17;43.71;388443;44.27;44.321;43.57
2013/07/16;44.16;591877;44.14;44.49;43.71
2013/07/15;44.05;301584;44.07;44.26;43.49
2013/07/12;43.95;810492;45.49;45.74;43.57
2013/07/11;45.45;767490;45.24;45.68;44.7301
2013/07/10;44.71;756809;43.4;44.85;43.11
2013/07/09;43.43;658934;42.53;44.01;41.99
2013/07/08;42.11;627780;42.17;42.47;41.91
2013/07/05;42.13;337747;42.82;42.97;42
2013/07/03;42.24;379557;42.09;42.62;41.98
2013/07/02;42.24;1595204;42.02;42.81;41.84
2013/07/01;42.01;700366;42.39;42.8499;41.95
2013/06/28;42.08;1576042;42.52;42.77;42
2013/06/27;42.77;956811;43.73;43.73;42.635
2013/06/26;43.55;558294;43.59;43.95;42.77
2013/06/25;43.298;521239;43.63;43.92;42.649
2013/06/24;43.09;668980;43.45;43.5499;42.47
2013/06/21;44.01;1127131;44.58;44.77;43.34
2013/06/20;44.32;889899;46;46.14;44.06
2013/06/19;46.45;499354;47.06;47.63;46.14
2013/06/18;47.06;367788;46.84;47.26;46.2801
2013/06/17;46.84;624847;46.97;47.74;46.55
2013/06/14;46.52;491125;46.99;47.86;46.22
2013/06/13;47.21;850023;45.07;47.42;44.84
2013/06/12;45.07;543012;46.42;46.42;44.9
2013/06/11;46.14;542123;46.38;46.96;45.93
2013/06/10;46.71;822605;47.56;48.17;46.56
2013/06/07;47.56;770930;47.4;48.08;46.71
2013/06/06;47.1;905751;47.51;47.53;46.28
2013/06/05;47.34;932289;48;48.37;47.2
2013/06/04;48.04;719925;49.12;49.64;47.72
2013/06/03;49.25;932901;48.87;49.61;47.89
2013/05/31;48.83;818278;48.18;49.64;48.14
2013/05/30;48.36;1107101;50.48;50.48;48.35
2013/05/29;50.23;1350475;48.55;50.7;48.2
2013/05/28;48.98;2109101;50.49;51.36;48.5145
2013/05/24;50.25;7917209;48.8;50.76;47.33
2013/05/23;58.17;1333227;58;59.34;57.53
2013/05/22;58.37;833516;60.09;60.74;57.741
2013/05/21;59.79;910943;57.95;60.3;57.95
2013/05/20;57.98;752171;57.48;58.26;56.54
2013/05/17;57.52;583798;58.32;58.58;57.12
2013/05/16;57.54;601383;57.95;58.92;57.15
2013/05/15;58.17;1274587;57.22;60.72;57.0001
2013/05/14;57.13;413685;55.76;57.3;55.49
2013/05/13;55.87;602398;56.57;56.85;55.13
2013/05/10;56.83;1226219;53.01;56.93;52.38
2013/05/09;52.99;408108;52.54;53.85;52.54
2013/05/08;52.63;654603;52.47;53.24;52.42
2013/05/07;52.44;607097;52.09;52.94;51.64
2013/05/06;52.08;338817;51.45;52.48;51.45
2013/05/03;51.45;532501;51.93;52.59;51.18
2013/05/02;51.15;484887;50.1;51.57;50.1
2013/05/01;50.04;576902;51.02;51.57;49.83
2013/04/30;51.34;631009;49.88;52.09;49.81
2013/04/29;49.92;530027;51.68;51.99;49.8
2013/04/26;51.34;565515;50.64;51.92;50.37
2013/04/25;50.52;729738;48.58;50.78;48.34
2013/04/24;48.34;609131;47.74;48.675;47.74
2013/04/23;47.77;543459;46.73;47.9;46.57
2013/04/22;46.62;466066;46.3;46.69;45.7
2013/04/19;46.18;541572;45.99;46.63;45.61
2013/04/18;46;529414;47.28;47.4999;45.8
2013/04/17;47.05;620192;48.38;48.77;46.71
2013/04/16;48.78;503034;49.31;49.93;48.65
2013/04/15;48.7;947744;52.77;54.22;48.35
2013/04/12;52.24;304930;52.51;52.51;51.63
2013/04/11;52.46;481531;52.72;53.5;52.32
2013/04/10;52.79;738264;50.73;52.93;50.73
2013/04/09;50.63;423232;50.2;51.14;49.6201
2013/04/08;50.22;286231;49.42;50.32;49.01
2013/04/05;49.42;523242;49.59;49.7;48.74
2013/04/04;50.49;514235;49.75;50.86;49.75
2013/04/03;49.53;614547;50.53;51.14;49.06
2013/04/02;50.58;435616;50.61;50.98;50.021
2013/04/01;50.6;565838;50.01;50.74;50.01
2013/03/28;49.97;813891;50.82;50.845;49.05
2013/03/27;50.67;410704;50.6;50.85;50.05
2013/03/26;50.89;474181;51.68;51.81;49.97
2013/03/25;51.4;458652;52.17;52.55;50.91
2013/03/22;52.05;353941;51.8;52.98;51.6
2013/03/21;51.68;271208;51.9;52.56;51.23
2013/03/20;52.3;397836;52.47;52.47;51.8001
2013/03/19;51.75;619521;52.17;52.4;50.791
2013/03/18;52.1;624687;51.13;52.97;50.77
2013/03/15;51.82;1224598;52.57;53.36;51.2
2013/03/14;52.49;1014217;51.07;52.86;50.62
2013/03/13;51.01;885110;50.24;51.5;50.22
2013/03/12;50.02;929428;50.88;51.4;49.88
2013/03/11;51.11;1415695;49.93;52.18;49.325
2013/03/08;49.68;1444564;49.11;50.94;48.14
2013/03/07;48.89;1330792;46.26;49.11;46.02
2013/03/06;46.28;422749;46.9;46.95;45.7501
2013/03/05;46.63;1750723;45.45;47.47;45.45
2013/03/04;44.17;615019;44.36;44.77;43.72
2013/03/01;44.36;1166289;44.85;44.85;43.75
2013/02/28;45;2383536;48.93;48.95;44.2
2013/02/27;47.47;1004795;45.94;48.05;45.69
2013/02/26;45.43;607180;46.13;46.98;45.06
2013/02/25;46.03;551192;47.34;47.54;46
2013/02/22;47.19;435561;47.59;48.465;46.55
2013/02/21;47.36;559555;47.67;48.38;46.591
2013/02/20;47.9;427913;48.62;49.179;47.84
2013/02/19;48.54;603619;47.6;48.75;47.441
2013/02/15;47.33;921061;48.6;48.79;46.58
2013/02/14;48.46;559674;47.28;48.79;47.15
2013/02/13;47.62;452892;48;48.749;47.32
2013/02/12;47.75;334537;47.84;48.17;47.5852
2013/02/11;47.97;446549;47.24;48.5;46.6
2013/02/08;47.42;354014;47.25;47.85;47.08
2013/02/07;47.13;374811;47.5;47.72;46.05
2013/02/06;47.4;389594;47.14;47.6899;46.82
2013/02/05;47.37;566811;46.53;48.02;46.2501
2013/02/04;46.37;563574;47.23;47.898;46.04
2013/02/01;47.55;856172;47.24;47.77;46.765
2013/01/31;46.95;811738;45.84;47;45.84
2013/01/30;46.39;693480;47.2;47.4;45.76
2013/01/29;47.39;1017434;47.84;48.41;46.76
2013/01/28;47.92;1261042;45.14;48.07;45.03
2013/01/25;45.12;755588;45.7;45.88;44.889
2013/01/24;45.4;776908;45.3;46.49;45.07
2013/01/23;45.06;900441;45.61;46.76;45
2013/01/22;45.81;994395;46.58;46.66;44.78
2013/01/18;46.66;1179625;45.63;46.75;44.75
2013/01/17;45.61;843634;45.8;46.56;45.38
2013/01/16;45.53;2077260;44.01;46.4575;44
2013/01/15;44.22;1253082;44.55;45.3;44.04
2013/01/14;44.6;2643363;41.75;44.79;41.63
2013/01/11;40.95;544752;41.17;41.6825;40.53
2013/01/10;41.3;991696;41.19;41.58;40.62
2013/01/09;40.77;1284062;40.5;41.43;40.27
2013/01/08;40.16;5184403;43.66;43.78;39
2013/01/07;42.92;954874;41.95;43.35;41.9
2013/01/04;42.19;619847;42.46;42.46;41.57
2013/01/03;42.26;898073;41.77;42.87;41.19
2013/01/02;41.7;1344232;42.29;43.25;40.59
2012/12/31;41.36;1641505;39.36;41.63;39.2722
2012/12/28;39.5;781515;39.21;39.82;38.4
2012/12/27;39.3;1317798;39.59;40.74;38.5
2012/12/26;39.39;1408090;40.41;40.61;38.53
2012/12/24;40.37;619855;40.95;41.2099;40.18
2012/12/21;40.83;2794765;43.14;43.7;40.31
2012/12/20;44.23;808509;44.08;44.771;43.625
2012/12/19;44.28;683460;44.46;45.08;44
2012/12/18;44.3;1454627;44.4;45.43;44.0001
2012/12/17;44.07;1070856;42.47;44.09;41.88
2012/12/14;42.26;793266;42.22;43.29;42.06
2012/12/13;42.41;759801;42.6;42.94;41.95
2012/12/12;42.3834;846397;43.5;43.7346;42.27
2012/12/11;43.5;1259050;44.2;44.77;43.12
2012/12/10;43.9735;1979830;43.05;44.92;42.4201
2012/12/07;42.96;2951593;42;43.2;41.5
2012/12/06;40.2497;1469722;41.15;41.39;39.2
2012/12/05;41.2122;2016268;42.81;43.31;40.7
2012/12/04;42.8807;1611777;42.13;43.68;41.3
2012/12/03;42.11;2120882;42.4;43.75;41.15
2012/11/30;42.01;1520615;43.1;43.25;41.47
2012/11/29;43.1;1575771;44.38;44.6;42.97
2012/11/28;44.48;2098602;46.58;46.69;44.12
2012/11/27;46.05;1011061;47.24;47.5;45.78
2012/11/26;46.91;903397;47.59;48.3;46.34
2012/11/23;47.52;599040;48.09;48.27;46.81
2012/11/21;47.49;1024548;49.45;49.87;47.13
2012/11/20;49.49;1612005;47.66;50.29;47.57
2012/11/19;47.8609;1824651;48.01;49.23;47.21
2012/11/16;47.49;6627233;54.72;55.18;46.13
2012/11/15;58.48;808223;58.38;59.28;57.801
2012/11/14;58.42;714633;60.38;60.93;58.03
2012/11/13;59.9;719293;61.47;62.2;59.74
2012/11/12;61.438;692908;63.5;63.71;60.65
2012/11/09;62.51;612748;61.53;63.58;61.44
2012/11/08;61.84;723650;64.04;64.59;61.43
2012/11/07;64.16;754520;66.47;66.47;62.7901
2012/11/06;66.76;964581;65.14;68.77;65.08
2012/11/05;65.05;1062710;63.93;66.8;63.92
2012/11/02;63.9395;472402;65.26;65.26;63.1917
2012/11/01;64.54;768634;62.76;65.4;62.45
2012/10/31;62.67;922669;64.25;65.43;61.9
2012/10/26;64.25;1314961;60.2422;64.7413;60.1902
2012/10/25;60.6179;787891;59.7123;61.0804;58.8742
2012/10/24;59.4137;556660;58.7971;59.6834;58.5081
2012/10/23;58.3539;822896;57.2942;58.7682;56.3404
2012/10/22;57.3038;555143;56.2922;57.7373;56.0706
2012/10/19;56.5716;813453;59.1343;59.2884;55.9261
2012/10/18;58.7778;384191;59.2788;59.7316;58.1516
2012/10/17;59.221;626346;59.6834;60.2133;58.3539
2012/10/16;59.8954;882320;58.4984;60.0726;58.1806
2012/10/15;58.1131;523626;57.8433;58.3443;57.6603
2012/10/12;57.7277;638206;57.8048;58.7682;57.4098
2012/10/11;58.6911;780276;57.6795;59.5871;57.1786
2012/10/10;57.1882;596675;56.9088;57.4001;56.2922
2012/10/09;56.745;857234;56.2537;57.4098;55.666
2012/10/08;56.4367;736921;54.5581;56.8221;53.7295
